Date,Open,High,Low,Close,Adj Close,Volume
2023-09-01,31.95,32.63,31.88,32.27,32.27,69752619
2023-09-04,32.58,33.61,32.47,33.53,33.53,110429932
2023-09-05,33.3,33.44,32.97,33.11,33.11,44732261
2023-09-06,33.1,33.46,32.77,33.36,33.36,54674047
2023-09-07,33.31,33.31,33.01,33.14,33.14,35870198
2023-09-08,33.0,33.26,32.95,33.17,33.17,29850098
2023-09-11,33.13,33.29,32.91,32.91,32.91,63287369
2023-09-12,32.9,33.05,32.82,32.88,32.88,27759078
2023-09-13,32.95,33.08,32.66,32.75,32.75,29891534
2023-09-14,32.95,33.19,32.85,33.07,33.07,43734390
2023-09-15,33.3,33.42,32.8,32.96,32.96,43960215
2023-09-18,32.87,33.05,32.7,33.02,33.02,36040192
2023-09-19,33.0,33.0,32.72,32.96,32.96,38465270
2023-09-20,32.86,32.86,32.63,32.73,32.73,30931758
2023-09-21,32.75,32.81,32.37,32.37,32.37,39031854
2023-09-22,32.59,33.37,32.32,33.34,33.34,71283316
2023-09-25,33.28,33.28,32.9,33.0,33.0,45651541
2023-09-26,32.93,33.08,32.75,32.8,32.8,32202356
2023-09-27,32.9,33.09,32.75,32.82,32.82,35246679
2023-09-28,33.02,33.14,32.75,32.97,32.97,38856469
2023-10-09,32.7,32.7,32.38,32.58,32.58,36134267
2023-10-10,33.12,33.13,32.59,32.59,32.59,34263698
2023-10-11,32.84,32.85,32.4,32.45,32.45,37609124
2023-10-12,32.99,33.33,32.78,33.07,33.07,61745963
2023-10-13,32.78,32.88,32.51,32.61,32.61,41037187
2023-10-16,32.58,32.66,32.24,32.31,32.31,28677414
2023-10-17,32.39,32.6,32.22,32.52,32.52,28622914
2023-10-18,32.49,32.64,32.41,32.49,32.49,24931667
2023-10-19,32.4,32.4,31.52,31.57,31.57,60429338
2023-10-20,31.49,31.81,31.4,31.65,31.65,37258937
2023-10-23,31.59,31.65,31.0,31.23,31.23,39380184
2023-10-24,31.38,31.41,31.04,31.3,31.3,36552663
2023-10-25,31.6,31.75,31.2,31.42,31.42,37569332
2023-10-26,31.36,31.75,31.26,31.5,31.5,28702985
2023-10-27,31.45,31.65,31.15,31.53,31.53,39145276
2023-10-30,31.01,31.13,30.55,30.9,30.9,83850056
2023-10-31,30.74,30.99,30.61,30.76,30.76,52801599
2023-11-01,30.8,30.88,30.43,30.45,30.45,52989707
2023-11-02,30.6,30.81,30.51,30.68,30.68,36466771
2023-11-03,30.68,31.04,30.6,30.99,30.99,43956879
2023-11-06,31.15,31.35,30.96,31.14,31.14,51982385
2023-11-07,31.14,31.14,30.65,30.8,30.8,51624067
2023-11-08,30.74,30.78,30.5,30.6,30.6,44518298
2023-11-09,30.55,30.78,30.52,30.66,30.66,32764958
2023-11-10,30.5,30.56,30.1,30.16,30.16,51696462
2023-11-13,30.17,30.27,29.61,29.82,29.82,63424273
2023-11-14,29.87,30.2,29.86,30.2,30.2,44834267
2023-11-15,30.45,30.77,30.39,30.64,30.64,60193960
2023-11-16,30.67,30.77,30.37,30.54,30.54,31571993
2023-11-17,30.46,30.52,30.1,30.33,30.33,43245282
2023-11-20,30.34,30.59,30.14,30.58,30.58,36922708
2023-11-21,30.75,30.87,30.37,30.43,30.43,48854470
2023-11-22,30.3,30.41,30.15,30.16,30.16,27370542
2023-11-23,30.02,30.21,29.95,30.14,30.14,29979383
2023-11-24,30.06,30.1,29.93,30.0,30.0,29116276
2023-11-27,30.0,30.03,29.29,29.4,29.4,58101958
